Date,Open,High,Low,Close,Adj Close,Volume
2019-09-17,9.090000,10.880000,9.070000,10.310000,10.310000,1357800
2019-09-18,10.180000,10.790000,9.010000,9.260000,9.260000,841800
2019-09-19,9.270000,9.530000,8.835000,9.480000,9.480000,318500
2019-09-20,9.250000,9.800000,9.170000,9.270000,9.270000,226700
2019-09-23,9.250000,9.580000,9.030000,9.300000,9.300000,172400
2019-09-24,9.240000,9.410000,8.750000,9.010000,9.010000,413200
2019-09-25,8.920000,9.040000,8.240000,8.600000,8.600000,471800
2019-09-26,8.630000,8.850000,8.100000,8.670000,8.670000,464800
2019-09-27,8.610000,8.820000,8.260000,8.660000,8.660000,259400
2019-09-30,8.600000,8.806000,8.160000,8.430000,8.430000,240900
2019-10-01,8.420000,8.590000,8.230000,8.380000,8.380000,167300
2019-10-02,8.280000,8.550000,7.850000,8.490000,8.490000,198100
2019-10-03,8.480000,9.390000,8.365000,9.270000,9.270000,236300
2019-10-04,9.540000,9.540000,8.850000,9.020000,9.020000,208100
2019-10-07,8.940000,9.440000,8.785000,9.060000,9.060000,160900
2019-10-08,9.040000,9.300000,8.900000,9.160000,9.160000,188100
2019-10-09,9.240000,9.430000,9.034000,9.110000,9.110000,218000
2019-10-10,9.100000,9.220000,8.420000,8.580000,8.580000,378700
2019-10-11,8.670000,8.770000,8.270000,8.330000,8.330000,350600
2019-10-14,8.170000,8.340000,7.860000,8.030000,8.030000,285300
2019-10-15,8.130000,8.250000,7.820000,7.860000,7.860000,384800
2019-10-16,7.890000,8.050000,7.350000,7.380000,7.380000,392300
2019-10-17,7.360000,8.230000,7.360000,8.030000,8.030000,340200
2019-10-18,7.910000,8.070000,7.470000,7.490000,7.490000,209400
2019-10-21,7.470000,7.646000,7.120000,7.210000,7.210000,304900
2019-10-22,7.200000,7.500000,6.890000,7.500000,7.500000,402400
2019-10-23,7.530000,7.720000,7.310000,7.680000,7.680000,218100
2019-10-24,7.540000,7.560000,7.250000,7.330000,7.330000,197800
2019-10-25,7.250000,7.580000,7.170000,7.440000,7.440000,251300
2019-10-28,7.440000,7.650000,7.380000,7.400000,7.400000,153600
2019-10-29,7.340000,7.404000,6.910000,7.050000,7.050000,328500
2019-10-30,7.000000,7.390000,6.900000,7.090000,7.090000,327500
2019-10-31,6.860000,7.760000,6.550000,7.160000,7.160000,671100
2019-11-01,7.310000,8.320000,7.050000,8.300000,8.300000,807200
2019-11-04,8.390000,10.270000,8.300000,8.710000,8.710000,1183700
2019-11-05,8.660000,9.030000,8.470000,8.750000,8.750000,348600
2019-11-06,8.670000,8.930000,8.300000,8.490000,8.490000,173200
2019-11-07,8.440000,8.540000,7.920000,7.920000,7.920000,281800
2019-11-08,7.850000,8.020000,7.670000,7.710000,7.710000,163800
2019-11-11,7.710000,7.720000,7.400000,7.550000,7.550000,191900
2019-11-12,7.410000,7.560000,7.110000,7.230000,7.230000,325500
2019-11-13,7.250000,7.400000,7.230000,7.280000,7.280000,210500
2019-11-14,7.250000,7.402000,7.106000,7.240000,7.240000,279400
2019-11-15,7.150000,7.440000,7.030000,7.360000,7.360000,158300
2019-11-18,7.170000,7.760000,7.050000,7.600000,7.600000,351400
2019-11-19,7.540000,7.960000,7.500000,7.920000,7.920000,127900
2019-11-20,7.940000,7.940000,7.500000,7.520000,7.520000,162800
2019-11-21,7.580000,7.620000,7.120000,7.250000,7.250000,222500
2019-11-22,7.210000,7.500000,6.930000,7.080000,7.080000,394500
2019-11-25,7.050000,7.250000,6.900000,6.970000,6.970000,274700
2019-11-26,6.970000,7.120000,6.710000,6.810000,6.810000,342300
2019-11-27,6.770000,6.770000,6.360000,6.560000,6.560000,459400
2019-11-29,6.480000,6.970000,6.385000,6.740000,6.740000,199500
2019-12-02,6.700000,7.007000,6.580000,6.980000,6.980000,220700
2019-12-03,6.810000,6.980000,6.716000,6.820000,6.820000,219800
2019-12-04,6.790000,6.790000,6.650000,6.730000,6.730000,321800
2019-12-05,6.700000,6.820000,6.330000,6.570000,6.570000,462700
2019-12-06,6.570000,6.930000,6.510000,6.900000,6.900000,338900
2019-12-09,6.830000,6.980000,6.650000,6.800000,6.800000,203800
2019-12-10,6.720000,7.000000,6.720000,6.900000,6.900000,101000
2019-12-11,6.820000,7.150000,6.790000,6.900000,6.900000,194400
2019-12-12,6.850000,7.080000,6.850000,7.060000,7.060000,183800
2019-12-13,6.970000,7.410000,6.970000,7.230000,7.230000,151000
2019-12-16,7.150000,7.420000,7.080000,7.170000,7.170000,185100
2019-12-17,7.150000,7.880000,7.140000,7.610000,7.610000,493600
2019-12-18,7.500000,7.660000,7.320000,7.410000,7.410000,217400
2019-12-19,7.330000,7.800000,7.330000,7.710000,7.710000,232800
2019-12-20,7.720000,7.820000,7.490000,7.610000,7.610000,231100
2019-12-23,7.560000,7.665000,7.500000,7.610000,7.610000,88200
2019-12-24,7.500000,7.726000,7.500000,7.670000,7.670000,55800
2019-12-26,7.680000,7.720000,7.390000,7.470000,7.470000,95000
2019-12-27,7.380000,7.440000,7.130000,7.150000,7.150000,237400
2019-12-30,7.120000,7.180000,6.780000,6.790000,6.790000,275700
2019-12-31,6.700000,6.860000,6.520000,6.580000,6.580000,444800
2020-01-02,6.640000,6.750000,6.360000,6.360000,6.360000,222600
2020-01-03,6.270000,6.350000,6.147000,6.160000,6.160000,248000
2020-01-06,6.150000,6.170000,6.050000,6.090000,6.090000,190200
2020-01-07,6.070000,6.180000,5.890000,5.950000,5.950000,420200
2020-01-08,5.900000,5.900000,5.650000,5.740000,5.740000,336100
2020-01-09,5.720000,5.810000,5.530000,5.680000,5.680000,271900
2020-01-10,5.670000,5.677000,5.260000,5.350000,5.350000,398900
2020-01-13,5.360000,5.376000,5.000000,5.040000,5.040000,462200
2020-01-14,4.990000,5.340000,4.990000,5.220000,5.220000,453500
2020-01-15,5.220000,5.320000,5.090000,5.140000,5.140000,333000
2020-01-16,5.310000,5.310000,5.060000,5.100000,5.100000,347700
2020-01-17,5.130000,5.145000,4.990000,5.020000,5.020000,370100
2020-01-21,5.000000,5.230000,4.700000,5.030000,5.030000,638400
2020-01-22,5.060000,5.130000,4.820000,4.820000,4.820000,410500
2020-01-23,4.820000,4.943000,4.650000,4.760000,4.760000,316800
2020-01-24,4.760000,4.820000,4.420000,4.440000,4.440000,288900
2020-01-27,4.400000,4.490000,4.143000,4.200000,4.200000,347800
2020-01-28,4.290000,4.350000,4.100000,4.180000,4.180000,215500
2020-01-29,4.120000,4.380000,4.050000,4.280000,4.280000,318900
2020-01-30,4.200000,4.350000,4.080000,4.100000,4.100000,408800
2020-01-31,4.100000,4.200000,3.740000,3.860000,3.860000,630600
2020-02-03,3.970000,4.090000,3.780000,3.820000,3.820000,255100
2020-02-04,3.810000,4.070000,3.620000,3.830000,3.830000,430900
2020-02-05,3.890000,4.300000,3.815000,4.130000,4.130000,725500
2020-02-06,4.200000,4.225000,4.020000,4.200000,4.200000,227800
2020-02-07,4.230000,4.310000,3.940000,4.030000,4.030000,218300
2020-02-10,4.030000,4.050000,3.820000,3.980000,3.980000,315100
2020-02-11,3.920000,4.070000,3.710000,3.990000,3.990000,362400
2020-02-12,4.030000,4.090000,3.803000,3.840000,3.840000,276000
2020-02-13,3.800000,3.910000,3.750000,3.840000,3.840000,197800
2020-02-14,3.780000,4.060000,3.780000,3.910000,3.910000,273400
2020-02-18,3.930000,4.440000,3.930000,4.370000,4.370000,790200
